cara,fila,columna,color
blanco,1,1,A
blanco,1,2,A
blanco,1,3,B
blanco,2,1,B
blanco,2,2,B
blanco,2,3,B
blanco,3,1,A
blanco,3,2,V
blanco,3,3,N
amarillo,1,1,N
amarillo,1,2,Az
amarillo,1,3,V
amarillo,2,1,V
amarillo,2,2,A
amarillo,2,3,N
amarillo,3,1,A
amarillo,3,2,B
amarillo,3,3,R
rojo,1,1,Az
rojo,1,2,V
rojo,1,3,B
rojo,2,1,R
rojo,2,2,R
rojo,2,3,N
rojo,3,1,R
rojo,3,2,R
rojo,3,3,Az
naranja,1,1,V
naranja,1,2,N
naranja,1,3,Az
naranja,2,1,Az
naranja,2,2,N
naranja,2,3,R
naranja,3,1,V
naranja,3,2,A
naranja,3,3,A
verde,1,1,R
verde,1,2,N
verde,1,3,B
verde,2,1,Az
verde,2,2,V
verde,2,3,Az
verde,3,1,N
verde,3,2,A
verde,3,3,V
azul,1,1,B
azul,1,2,R
azul,1,3,N
azul,2,1,B
azul,2,2,Az
azul,2,3,A
azul,3,1,R
azul,3,2,V
azul,3,3,Az
