cara,fila,columna,color
blanco,1,1,R
blanco,1,2,B
blanco,1,3,Az
blanco,2,1,R
blanco,2,2,B
blanco,2,3,A
blanco,3,1,Az
blanco,3,2,V
blanco,3,3,V
amarillo,1,1,Az
amarillo,1,2,R
amarillo,1,3,A
amarillo,2,1,N
amarillo,2,2,A
amarillo,2,3,B
amarillo,3,1,R
amarillo,3,2,B
amarillo,3,3,A
rojo,1,1,A
rojo,1,2,R
rojo,1,3,V
rojo,2,1,N
rojo,2,2,R
rojo,2,3,A
rojo,3,1,N
rojo,3,2,V
rojo,3,3,N
naranja,1,1,V
naranja,1,2,Az
naranja,1,3,R
naranja,2,1,A
naranja,2,2,N
naranja,2,3,V
naranja,3,1,B
naranja,3,2,A
naranja,3,3,Az
verde,1,1,A
verde,1,2,N
verde,1,3,B
verde,2,1,R
verde,2,2,V
verde,2,3,N
verde,3,1,N
verde,3,2,Az
verde,3,3,N
azul,1,1,R
azul,1,2,Az
azul,1,3,V
azul,2,1,Az
azul,2,2,Az
azul,2,3,B
azul,3,1,B
azul,3,2,V
azul,3,3,B
