cara,fila,columna,color
blanco,1,1,N
blanco,1,2,Az
blanco,1,3,N
blanco,2,1,N
blanco,2,2,B
blanco,2,3,A
blanco,3,1,A
blanco,3,2,N
blanco,3,3,B
amarillo,1,1,V
amarillo,1,2,V
amarillo,1,3,V
amarillo,2,1,B
amarillo,2,2,A
amarillo,2,3,N
amarillo,3,1,B
amarillo,3,2,R
amarillo,3,3,N
rojo,1,1,B
rojo,1,2,V
rojo,1,3,R
rojo,2,1,A
rojo,2,2,R
rojo,2,3,A
rojo,3,1,V
rojo,3,2,R
rojo,3,3,Az
naranja,1,1,R
naranja,1,2,A
naranja,1,3,R
naranja,2,1,V
naranja,2,2,N
naranja,2,3,R
naranja,3,1,A
naranja,3,2,N
naranja,3,3,N
verde,1,1,A
verde,1,2,B
verde,1,3,A
verde,2,1,V
verde,2,2,V
verde,2,3,Az
verde,3,1,Az
verde,3,2,Az
verde,3,3,B
azul,1,1,Az
azul,1,2,R
azul,1,3,R
azul,2,1,B
azul,2,2,Az
azul,2,3,Az
azul,3,1,Az
azul,3,2,B
azul,3,3,V
