cara,fila,columna,color
blanco,1,1,V
blanco,1,2,N
blanco,1,3,A
blanco,2,1,N
blanco,2,2,B
blanco,2,3,V
blanco,3,1,V
blanco,3,2,V
blanco,3,3,Az
amarillo,1,1,N
amarillo,1,2,Az
amarillo,1,3,Az
amarillo,2,1,Az
amarillo,2,2,A
amarillo,2,3,B
amarillo,3,1,R
amarillo,3,2,R
amarillo,3,3,V
rojo,1,1,V
rojo,1,2,R
rojo,1,3,A
rojo,2,1,R
rojo,2,2,R
rojo,2,3,B
rojo,3,1,B
rojo,3,2,N
rojo,3,3,A
naranja,1,1,B
naranja,1,2,V
naranja,1,3,A
naranja,2,1,A
naranja,2,2,N
naranja,2,3,A
naranja,3,1,R
naranja,3,2,Az
naranja,3,3,R
verde,1,1,Az
verde,1,2,R
verde,1,3,B
verde,2,1,B
verde,2,2,V
verde,2,3,A
verde,3,1,B
verde,3,2,B
verde,3,3,N
azul,1,1,N
azul,1,2,V
azul,1,3,N
azul,2,1,N
azul,2,2,Az
azul,2,3,A
azul,3,1,R
azul,3,2,Az
azul,3,3,Az
