cara,fila,columna,color
blanco,1,1,Az
blanco,1,2,V
blanco,1,3,A
blanco,2,1,R
blanco,2,2,B
blanco,2,3,B
blanco,3,1,B
blanco,3,2,A
blanco,3,3,Az
amarillo,1,1,N
amarillo,1,2,R
amarillo,1,3,N
amarillo,2,1,N
amarillo,2,2,A
amarillo,2,3,B
amarillo,3,1,V
amarillo,3,2,B
amarillo,3,3,Az
rojo,1,1,A
rojo,1,2,B
rojo,1,3,B
rojo,2,1,A
rojo,2,2,R
rojo,2,3,Az
rojo,3,1,V
rojo,3,2,R
rojo,3,3,B
naranja,1,1,N
naranja,1,2,Az
naranja,1,3,R
naranja,2,1,V
naranja,2,2,N
naranja,2,3,N
naranja,3,1,V
naranja,3,2,V
naranja,3,3,V
verde,1,1,R
verde,1,2,A
verde,1,3,R
verde,2,1,N
verde,2,2,V
verde,2,3,R
verde,3,1,A
verde,3,2,Az
verde,3,3,A
azul,1,1,Az
azul,1,2,N
azul,1,3,B
azul,2,1,Az
azul,2,2,Az
azul,2,3,A
azul,3,1,N
azul,3,2,V
azul,3,3,R
