cara,fila,columna,color
blanco,1,1,V
blanco,1,2,N
blanco,1,3,B
blanco,2,1,B
blanco,2,2,B
blanco,2,3,A
blanco,3,1,V
blanco,3,2,Az
blanco,3,3,V
amarillo,1,1,Az
amarillo,1,2,R
amarillo,1,3,V
amarillo,2,1,V
amarillo,2,2,A
amarillo,2,3,Az
amarillo,3,1,A
amarillo,3,2,V
amarillo,3,3,Az
rojo,1,1,R
rojo,1,2,B
rojo,1,3,B
rojo,2,1,B
rojo,2,2,R
rojo,2,3,A
rojo,3,1,R
rojo,3,2,N
rojo,3,3,N
naranja,1,1,B
naranja,1,2,R
naranja,1,3,Az
naranja,2,1,R
naranja,2,2,N
naranja,2,3,A
naranja,3,1,N
naranja,3,2,B
naranja,3,3,Az
verde,1,1,A
verde,1,2,R
verde,1,3,A
verde,2,1,A
verde,2,2,V
verde,2,3,V
verde,3,1,N
verde,3,2,Az
verde,3,3,B
azul,1,1,R
azul,1,2,N
azul,1,3,A
azul,2,1,N
azul,2,2,Az
azul,2,3,V
azul,3,1,R
azul,3,2,Az
azul,3,3,N
