cara,fila,columna,color
blanco,1,1,R
blanco,1,2,B
blanco,1,3,N
blanco,2,1,R
blanco,2,2,B
blanco,2,3,N
blanco,3,1,R
blanco,3,2,B
blanco,3,3,B
amarillo,1,1,V
amarillo,1,2,A
amarillo,1,3,V
amarillo,2,1,N
amarillo,2,2,A
amarillo,2,3,N
amarillo,3,1,N
amarillo,3,2,R
amarillo,3,3,Az
rojo,1,1,N
rojo,1,2,V
rojo,1,3,Az
rojo,2,1,V
rojo,2,2,R
rojo,2,3,Az
rojo,3,1,R
rojo,3,2,A
rojo,3,3,N
naranja,1,1,A
naranja,1,2,A
naranja,1,3,B
naranja,2,1,R
naranja,2,2,N
naranja,2,3,A
naranja,3,1,B
naranja,3,2,V
naranja,3,3,Az
verde,1,1,Az
verde,1,2,B
verde,1,3,V
verde,2,1,B
verde,2,2,V
verde,2,3,Az
verde,3,1,A
verde,3,2,R
verde,3,3,A
azul,1,1,A
azul,1,2,N
azul,1,3,V
azul,2,1,Az
azul,2,2,Az
azul,2,3,V
azul,3,1,R
azul,3,2,Az
azul,3,3,B
