cara,fila,columna,color
blanco,1,1,A
blanco,1,2,Az
blanco,1,3,V
blanco,2,1,A
blanco,2,2,B
blanco,2,3,V
blanco,3,1,Az
blanco,3,2,N
blanco,3,3,V
amarillo,1,1,B
amarillo,1,2,B
amarillo,1,3,Az
amarillo,2,1,N
amarillo,2,2,A
amarillo,2,3,B
amarillo,3,1,B
amarillo,3,2,Az
amarillo,3,3,A
rojo,1,1,N
rojo,1,2,A
rojo,1,3,R
rojo,2,1,V
rojo,2,2,R
rojo,2,3,R
rojo,3,1,B
rojo,3,2,N
rojo,3,3,R
naranja,1,1,N
naranja,1,2,Az
naranja,1,3,N
naranja,2,1,A
naranja,2,2,N
naranja,2,3,B
naranja,3,1,R
naranja,3,2,R
naranja,3,3,A
verde,1,1,V
verde,1,2,R
verde,1,3,A
verde,2,1,V
verde,2,2,V
verde,2,3,R
verde,3,1,Az
verde,3,2,V
verde,3,3,R
azul,1,1,V
azul,1,2,A
azul,1,3,Az
azul,2,1,Az
azul,2,2,Az
azul,2,3,B
azul,3,1,N
azul,3,2,N
azul,3,3,B
