cara,fila,columna,color
blanco,1,1,N
blanco,1,2,B
blanco,1,3,Az
blanco,2,1,A
blanco,2,2,B
blanco,2,3,V
blanco,3,1,B
blanco,3,2,V
blanco,3,3,R
amarillo,1,1,A
amarillo,1,2,N
amarillo,1,3,V
amarillo,2,1,A
amarillo,2,2,A
amarillo,2,3,B
amarillo,3,1,B
amarillo,3,2,V
amarillo,3,3,V
rojo,1,1,R
rojo,1,2,A
rojo,1,3,V
rojo,2,1,R
rojo,2,2,R
rojo,2,3,Az
rojo,3,1,Az
rojo,3,2,Az
rojo,3,3,Az
naranja,1,1,A
naranja,1,2,Az
naranja,1,3,V
naranja,2,1,V
naranja,2,2,N
naranja,2,3,R
naranja,3,1,N
naranja,3,2,B
naranja,3,3,R
verde,1,1,Az
verde,1,2,N
verde,1,3,B
verde,2,1,N
verde,2,2,V
verde,2,3,Az
verde,3,1,A
verde,3,2,R
verde,3,3,A
azul,1,1,N
azul,1,2,R
azul,1,3,N
azul,2,1,B
azul,2,2,Az
azul,2,3,A
azul,3,1,R
azul,3,2,N
azul,3,3,B
