cara,fila,columna,color
blanco,1,1,N
blanco,1,2,V
blanco,1,3,Az
blanco,2,1,B
blanco,2,2,B
blanco,2,3,R
blanco,3,1,V
blanco,3,2,A
blanco,3,3,B
amarillo,1,1,R
amarillo,1,2,R
amarillo,1,3,N
amarillo,2,1,Az
amarillo,2,2,A
amarillo,2,3,V
amarillo,3,1,B
amarillo,3,2,A
amarillo,3,3,A
rojo,1,1,A
rojo,1,2,N
rojo,1,3,B
rojo,2,1,R
rojo,2,2,R
rojo,2,3,B
rojo,3,1,V
rojo,3,2,A
rojo,3,3,N
naranja,1,1,A
naranja,1,2,B
naranja,1,3,R
naranja,2,1,V
naranja,2,2,N
naranja,2,3,B
naranja,3,1,R
naranja,3,2,Az
naranja,3,3,B
verde,1,1,A
verde,1,2,Az
verde,1,3,V
verde,2,1,A
verde,2,2,V
verde,2,3,N
verde,3,1,N
verde,3,2,N
verde,3,3,Az
azul,1,1,R
azul,1,2,R
azul,1,3,V
azul,2,1,V
azul,2,2,Az
azul,2,3,N
azul,3,1,Az
azul,3,2,Az
azul,3,3,Az
