cara,fila,columna,color
blanco,1,1,B
blanco,1,2,B
blanco,1,3,B
blanco,2,1,R
blanco,2,2,B
blanco,2,3,V
blanco,3,1,N
blanco,3,2,R
blanco,3,3,A
amarillo,1,1,R
amarillo,1,2,Az
amarillo,1,3,A
amarillo,2,1,Az
amarillo,2,2,A
amarillo,2,3,V
amarillo,3,1,V
amarillo,3,2,R
amarillo,3,3,N
rojo,1,1,R
rojo,1,2,A
rojo,1,3,B
rojo,2,1,V
rojo,2,2,R
rojo,2,3,B
rojo,3,1,V
rojo,3,2,B
rojo,3,3,Az
naranja,1,1,Az
naranja,1,2,Az
naranja,1,3,V
naranja,2,1,R
naranja,2,2,N
naranja,2,3,B
naranja,3,1,A
naranja,3,2,A
naranja,3,3,V
verde,1,1,N
verde,1,2,Az
verde,1,3,A
verde,2,1,A
verde,2,2,V
verde,2,3,N
verde,3,1,N
verde,3,2,N
verde,3,3,R
azul,1,1,B
azul,1,2,V
azul,1,3,Az
azul,2,1,A
azul,2,2,Az
azul,2,3,N
azul,3,1,Az
azul,3,2,N
azul,3,3,R
