cara,fila,columna,color
blanco,1,1,V
blanco,1,2,R
blanco,1,3,A
blanco,2,1,Az
blanco,2,2,B
blanco,2,3,N
blanco,3,1,B
blanco,3,2,N
blanco,3,3,A
amarillo,1,1,N
amarillo,1,2,V
amarillo,1,3,R
amarillo,2,1,B
amarillo,2,2,A
amarillo,2,3,A
amarillo,3,1,R
amarillo,3,2,V
amarillo,3,3,A
rojo,1,1,N
rojo,1,2,R
rojo,1,3,B
rojo,2,1,A
rojo,2,2,R
rojo,2,3,B
rojo,3,1,Az
rojo,3,2,Az
rojo,3,3,Az
naranja,1,1,V
naranja,1,2,B
naranja,1,3,R
naranja,2,1,V
naranja,2,2,N
naranja,2,3,A
naranja,3,1,B
naranja,3,2,R
naranja,3,3,V
verde,1,1,N
verde,1,2,N
verde,1,3,R
verde,2,1,V
verde,2,2,V
verde,2,3,N
verde,3,1,V
verde,3,2,Az
verde,3,3,B
azul,1,1,N
azul,1,2,A
azul,1,3,Az
azul,2,1,R
azul,2,2,Az
azul,2,3,Az
azul,3,1,A
azul,3,2,B
azul,3,3,Az
