cara,fila,columna,color
blanco,1,1,V
blanco,1,2,A
blanco,1,3,Az
blanco,2,1,V
blanco,2,2,B
blanco,2,3,V
blanco,3,1,A
blanco,3,2,N
blanco,3,3,R
amarillo,1,1,A
amarillo,1,2,R
amarillo,1,3,N
amarillo,2,1,R
amarillo,2,2,A
amarillo,2,3,Az
amarillo,3,1,A
amarillo,3,2,Az
amarillo,3,3,V
rojo,1,1,N
rojo,1,2,B
rojo,1,3,N
rojo,2,1,V
rojo,2,2,R
rojo,2,3,A
rojo,3,1,B
rojo,3,2,Az
rojo,3,3,R
naranja,1,1,V
naranja,1,2,B
naranja,1,3,A
naranja,2,1,N
naranja,2,2,N
naranja,2,3,A
naranja,3,1,B
naranja,3,2,B
naranja,3,3,B
verde,1,1,Az
verde,1,2,N
verde,1,3,R
verde,2,1,V
verde,2,2,V
verde,2,3,R
verde,3,1,B
verde,3,2,N
verde,3,3,Az
azul,1,1,N
azul,1,2,B
azul,1,3,R
azul,2,1,R
azul,2,2,Az
azul,2,3,A
azul,3,1,V
azul,3,2,Az
azul,3,3,Az
